"id","name","normalized_name","gender"
291,"MR. O'HARA","mr ohara","Unknown"
292,"Man On Bus","man on bus","Unknown"
293,"Player #2","player 2","Unknown"
294,"Rasta #1","rasta 1","Unknown"
295,"Rasta #2","rasta 2","Unknown"
296,"Supervisor","supervisor","Unknown"
297,"Tony Bennett","tony bennett","Unknown"
298,"Capital City Goofball","capital city goofball","Unknown"
299,"Dave Glass","dave glass","Unknown"
300,"First Wife #3","first wife 3","Unknown"
301,"First Wife #1","first wife 1","Unknown"
302,"Hot Dog Man","hot dog man","Unknown"
303,"Spectator #1","spectator 1","Unknown"
304,"Spectator #2","spectator 2","Unknown"
305,"Spectator #3","spectator 3","Unknown"
306,"Clubhouse Attendant","clubhouse attendant","Unknown"
307,"Dave Rosenfield","dave rosenfield","Unknown"
310,"Librarian","librarian","Unknown"
312,"SENIOR CITIZENS","senior citizens","Unknown"
314,"Announcer #2","announcer 2","Unknown"
315,"Mrs. Spencer","mrs spencer","Unknown"
316,"Security Guard #1","security guard 1","Unknown"
317,"Casey","casey","Unknown"
318,"Rory","rory","Unknown"
319,"Transient","transient","Unknown"
320,"Uncle Sam","uncle sam","Unknown"
321,"Audience","audience","Unknown"
322,"Tv Voice #1","tv voice 1","Unknown"
323,"Tv Voice #2","tv voice 2","Unknown"
324,"Tv Voice #3","tv voice 3","Unknown"
325,"ALL THREE TV VOICES","all three tv voices","Unknown"
240,"Mayor Joe Quimby","mayor joe quimby","Male"
308,"Maude Flanders","maude flanders","Female"
309,"Helen Lovejoy","helen lovejoy","Female"
273,"Jasper Beardly","jasper beardly","Male"
311,"Man","man","Male"
238,"Marty","marty","Male"
272,"TV Announcer","tv announcer","Male"
239,"Bill","bill","Male"
218,"Director","director","Male"
222,"Arnie Pye","arnie pye","Male"
237,"Nurse","nurse","Female"
256,"Karl","karl","Male"
223,"Radio Announcer","radio announcer","Male"
313,"British Commentator","british commentator","Male"
270,"DANIELSON","danielson","Male"
326,"ALL 3 ANNOUNCERS","all 3 announcers","Unknown"
327,"LARGO","largo","Unknown"
328,"SCRAPER","scraper","Unknown"
329,"CLARK","clark","Unknown"
333,"SMYTHE","smythe","Unknown"
334,"Itchy & Scratchy Singers","itchy scratchy singers","Unknown"
336,"Her Group","her group","Unknown"
337,"Animator","animator","Unknown"
338,"1ST BOARD MEMBER","1st board member","Unknown"
339,"2nd Board Member","2nd board member","Unknown"
340,"Squirrel","squirrel","Unknown"
342,"Scratchy","scratchy","Unknown"
343,"Itchy","itchy","Unknown"
344,"Curator","curator","Unknown"
348,"Della","della","Unknown"
350,"Bailiff","bailiff","Unknown"
352,"BURNS LAWYER","burns lawyer","Unknown"
354,"Sushi Bar Chefs","sushi bar chefs","Unknown"
355,"Hostess","hostess","Unknown"
357,"Toshiro","toshiro","Unknown"
358,"Master","master","Unknown"
359,"Richie Sakai","richie sakai","Unknown"
360,"Cellmate","cellmate","Unknown"
361,"Crazy Calls","crazy calls","Unknown"
362,"Smitty","smitty","Unknown"
363,"Larry King","larry king","Unknown"
364,"LARRY KING V.O.","larry king vo","Unknown"
365,"Bald One","bald one","Unknown"
366,"Police Captain","police captain","Unknown"
368,"Fat One","fat one","Unknown"
369,"Kim","kim","Unknown"
371,"Estelle","estelle","Unknown"
372,"MCINTYRE","mcintyre","Unknown"
374,"Mrs. Bloominstein","mrs bloominstein","Unknown"
375,"Coach Flanagan","coach flanagan","Unknown"
376,"Mr. Seckofsky","mr seckofsky","Unknown"
377,"Mr. Bouvier","mr bouvier","Unknown"
378,"Chauffeur","chauffeur","Unknown"
379,"PRINCIPAL","principal","Unknown"
380,"Homer The Thief","homer the thief","Unknown"
381,"Hezron","hezron","Unknown"
382,"Zohar","zohar","Unknown"
383,"Moses","moses","Unknown"
384,"Cable Guy","cable guy","Unknown"
385,"Comic","comic","Unknown"
386,"Woman #1","woman 1","Unknown"
387,"Woman #2","woman 2","Unknown"
388,"Mexican Announcer","mexican announcer","Unknown"
389,"Representative","representative","Unknown"
390,"Cockfight Announcer","cockfight announcer","Unknown"
391,"Davey","davey","Unknown"
392,"Goliath","goliath","Unknown"
394,"Panelist #1","panelist 1","Unknown"
395,"Blockbuster Announcer","blockbuster announcer","Unknown"
396,"Top Hat Announcer","top hat announcer","Unknown"
397,"Stock Reporter","stock reporter","Unknown"
398,"Boxing Announcer #1","boxing announcer 1","Unknown"
399,"Boxing Announcer #2","boxing announcer 2","Unknown"
400,"Challenger","challenger","Unknown"
401,"Referee","referee","Unknown"
402,"Kindly Old Gent","kindly old gent","Unknown"
403,"Stanley","stanley","Unknown"
405,"Busboy","busboy","Unknown"
406,"Australian Boy","australian boy","Unknown"
407,"Australian Girl","australian girl","Unknown"
408,"Jeweler","jeweler","Unknown"
409,"Senator Mendoza","senator mendoza","Unknown"
410,"Board Member","board member","Unknown"
411,"Female Commando","female commando","Unknown"
412,"Theatre Manager","theatre manager","Unknown"
413,"Floozy","floozy","Unknown"
416,"Attendant","attendant","Unknown"
418,"Policeman","policeman","Unknown"
419,"Executive #2","executive 2","Unknown"
420,"Head Engineer","head engineer","Unknown"
421,"Engineer #2","engineer 2","Unknown"
422,"Engineer #3","engineer 3","Unknown"
423,"Female Singer","female singer","Unknown"
424,"Counter Man","counter man","Unknown"
425,"Flanders's Thoughts","flanderss thoughts","Unknown"
428,"Kelly","kelly","Unknown"
430,"Father McGrath","father mcgrath","Unknown"
431,"Salesboy","salesboy","Unknown"
432,"Hula Woman","hula woman","Unknown"
434,"BEA","bea","Unknown"
435,"Checker","checker","Unknown"
332,"Dr. Julius Hibbert","dr julius hibbert","Male"
404,"Groundskeeper Willie","groundskeeper willie","Male"
426,"Troy McClure","troy mcclure","Male"
347,"Lionel Hutz","lionel hutz","Male"
417,"HERB","herb","Male"
414,"Mona Simpson","mona simpson","Female"
335,"Roger Meyers, Jr.","roger meyers jr","Male"
351,"Blue-Haired Lawyer","blue-haired lawyer","Male"
349,"Dr. Nick Riviera","dr nick riviera","Male"
373,"Artie Ziff","artie ziff","Male"
353,"Larry","larry","Male"
370,"Principal Dondelinger","principal dondelinger","Male"
427,"Emily","emily","Female"
356,"Akira","akira","Male"
429,"Jack","jack","Male"
330,"Track Announcer","track announcer","Male"
346,"Devil","devil","Male"
433,"Farmer","farmer","Male"
345,"Reporter","reporter","Male"
331,"MURDOCK","murdock","Male"
437,"Tracker","tracker","Unknown"
438,"Mr. Hazelwood","mr hazelwood","Unknown"
439,"Cabbie","cabbie","Unknown"
440,"KENT","kent","Unknown"
441,"MONROE","monroe","Unknown"
443,"Old Man Daly","old man daly","Unknown"
444,"Old Man McGrath","old man mcgrath","Unknown"
445,"Plato","plato","Unknown"
446,"Croupier","croupier","Unknown"
447,"Recorded Announcer","recorded announcer","Unknown"
448,"Old Woman In Line","old woman in line","Unknown"
449,"Monitor #1","monitor 1","Unknown"
450,"Monitor #2","monitor 2","Unknown"
451,"Female Newscaster","female newscaster","Unknown"
452,"Mr. Schindler","mr schindler","Unknown"
453,"Student","student","Unknown"
454,"Registrar","registrar","Unknown"
455,"Professor Lombardo","professor lombardo","Unknown"
456,"BART & LISA","bart lisa","Unknown"
457,"Artist","artist","Unknown"
458,"Delivery Man","delivery man","Unknown"
459,"MR. BURNS' GEOMETRIC SHAPES","mr burns geometric shapes","Unknown"
460,"RINGO","ringo","Unknown"
461,"WETHERBY","wetherby","Unknown"
462,"MRS. HOOVER","mrs hoover","Unknown"
463,"Chuck","chuck","Unknown"
466,"Classmate","classmate","Unknown"
467,"Terri/sherri","terrisherri","Unknown"
468,"Woman In Booth","woman in booth","Unknown"
469,"Landlady","landlady","Unknown"
470,"Kid Reporter","kid reporter","Unknown"
471,"Husband Of Marge's Friend","husband of marges friend","Unknown"
472,"Sophisticate #1","sophisticate 1","Unknown"
473,"Sophisticate #2","sophisticate 2","Unknown"
474,"Sophisticate #3","sophisticate 3","Unknown"
475,"Sultan","sultan","Unknown"
476,"Worm Man","worm man","Unknown"
480,"Convict","convict","Unknown"
481,"Customer","customer","Unknown"
482,"DIAMOND JOE","diamond joe","Unknown"
483,"Lost And Found Guy","lost and found guy","Unknown"
484,"Radioactive Man","radioactive man","Unknown"
485,"Fallout Boy","fallout boy","Unknown"
486,"Convention Director","convention director","Unknown"
487,"BUDDY","buddy","Unknown"
488,"Dealer","dealer","Unknown"
489,"Young Patty","young patty","Unknown"
490,"Young Selma","young selma","Unknown"
492,"Older Patty","older patty","Unknown"
493,"Older Selma","older selma","Unknown"
494,"Adult Narrator","adult narrator","Unknown"
495,"Teller","teller","Unknown"
497,"Asa","asa","Unknown"
498,"Soap Actress","soap actress","Unknown"
499,"Soap Actor","soap actor","Unknown"
500,"Osvaldo","osvaldo","Unknown"
501,"Mail Person","mail person","Unknown"
502,"Roman","roman","Unknown"
503,"Postal Worker","postal worker","Unknown"
505,"Joey","joey","Unknown"
506,"Guard #1","guard 1","Unknown"
507,"Guard #2","guard 2","Unknown"
509,"Psychiatrist","psychiatrist","Unknown"
510,"Orderly","orderly","Unknown"
512,"Floyd","floyd","Unknown"
513,"Bart's Head","barts head","Unknown"
515,"Voice On Phone","voice on phone","Unknown"
519,"Leon Kompowsky","leon kompowsky","Unknown"
520,"Minnesota Girl","minnesota girl","Unknown"
521,"Alabama Boy","alabama boy","Unknown"
522,"QUEENS BOY","queens boy","Unknown"
523,"Female Judge","female judge","Unknown"
524,"Dad","dad","Unknown"
525,"Flight Attendant","flight attendant","Unknown"
527,"Irs Man","irs man","Unknown"
528,"Hotel Guest","hotel guest","Unknown"
529,"Miss Crowley","miss crowley","Unknown"
530,"Truong/maria","truongmaria","Unknown"
531,"TRUONG","truong","Unknown"
532,"MARIA","maria","Unknown"
534,"Worker","worker","Unknown"
535,"Guide","guide","Unknown"
536,"Lobbyist","lobbyist","Unknown"
537,"Arnold","arnold","Unknown"
538,"Newlywed Wife","newlywed wife","Unknown"
539,"White Trash Woman #1","white trash woman 1","Unknown"
540,"Man #3","man 3","Unknown"
541,"Old Timer","old timer","Unknown"
542,"Guy","guy","Unknown"
543,"Songster","songster","Unknown"
544,"Page","page","Unknown"
545,"Senator","senator","Unknown"
546,"Oil Developer","oil developer","Unknown"
442,"Professor Jonathan Frink","professor jonathan frink","Male"
518,"Snake Jailbird","snake jailbird","Male"
464,"Miss Hoover","miss hoover","Female"
465,"BERGSTROM","bergstrom","Male"
511,"MICHAEL","michael","Male"
526,"Pilot","pilot","Male"
478,"John","john","Male"
508,"Host","host","Male"
436,"Guard","guard","Male"
477,"Gloria","gloria","Female"
479,"Captain","captain","Male"
496,"Mrs. Glick","mrs glick","Female"
516,"Doctor","doctor","Male"
533,"BARBARA","barbara","Female"
517,"Dave","dave","Male"
514,"Wiseguy","wiseguy","Male"
547,"Agent","agent","Unknown"
548,"Speaker","speaker","Unknown"
549,"Majority Leader","majority leader","Unknown"
550,"Everyone Else","everyone else","Unknown"
551,"President","president","Unknown"
552,"Foreign Dignitary","foreign dignitary","Unknown"
